date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:52	13809/13809	---M-Z	200	added ('OK')	text/html	etag:%225ba0025-35f1-57db116da09a0-gzip%22	http://povestea-noastra.com/theme/help404/_landing/index.html	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/index.html	(from )
12:36:53	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jul%202020%2011:36:54%20GMT	http://povestea-noastra.com/robots.txt		(from )
12:36:54	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jul%202020%2011:36:55%20GMT	http://povestea-noastra.com/theme/help404/_landing/favicon.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/favicon.png	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:36:57	166175/166175	---M--	200	added ('OK')	text/css	etag:%225ba0028-2891f-57d031008a53e%22	http://povestea-noastra.com/theme/help404/_landing/css/main.css	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/css/main.css	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:36:59	4377/4377	---M--	200	added ('OK')	text/css	etag:%225ba0027-1119-57d030fba3e96%22	http://povestea-noastra.com/theme/help404/_landing/css/form.css	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/css/form.css	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:36:59	31000/31000	---M--	200	added ('OK')	text/css	etag:%225ba0026-7918-57d030fc104fe%22	http://povestea-noastra.com/theme/help404/_landing/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/css/font-awesome.min.css	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:37:01	19888/19888	---M--	200	added ('OK')	text/css	etag:%225ba0029-4db0-57d030fd9f3ea%22	http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:37:02	3676/3676	---M--	200	added ('OK')	image/png	etag:%225ba002a-e5c-57d031013b553%22	http://povestea-noastra.com/theme/help404/_landing/favicons/apple-touch-icon.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/favicons/apple-touch-icon.png	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:37:05	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jul%202020%2011:37:04%20GMT	https://povestea-noastra.com/theme/huge404/_landing/images/img-fb/default.jpg	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/huge404/_landing/images/img-fb/default.7.delayed	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:37:07	34695/34695	---M--	200	added ('OK')	image/jpeg	etag:%225ba00d1-8787-57d03151600a8%22	http://povestea-noastra.com/theme/help404/_landing/images/screens/v3.jpg	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/screens/v3.jpg	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
